cluster_label,mean_sequence_identity,min_sequence_identity,max_sequence_identity,standard_deviation,n_alignments
0,0.4234949125805261,0.3275862068965517,0.5283018867924528,0.0571657809899395,21
1,0.6046153220445435,0.47619047619047616,0.9743589743589743,0.08501696462045785,66
2,0.7687609704552476,0.672289156626506,0.9783132530120482,0.102040776754078,66
3,0.8037435857192037,0.605080831408776,0.9681093394077449,0.13814877878920853,45
4,0.64529089119134,0.49538866930171277,0.9761904761904762,0.11798869615471631,78
5,0.5807266564332472,0.46060606060606063,0.9821138211382113,0.12466743528176616,36
6,0.8260725592815145,0.7109375,0.9696969696969697,0.080100497557844,21
7,0.8157337380597143,0.6422287390029325,0.9473684210526315,0.08727158544569412,36
8,0.874924158884203,0.7702127659574468,0.9789029535864979,0.07524527449709552,28
9,0.6075910329348935,0.44776119402985076,0.9696969696969697,0.11410271537661126,78
10,0.7262916383901269,0.625,0.9861111111111112,0.09558768998945734,21
11,0.6461619416252028,0.4085106382978723,0.9121338912133892,0.15676793446075776,78
12,0.8274144133982393,0.7757296466973886,0.901386748844376,0.034891448364876156,28
13,0.5056040045496452,0.4088397790055249,0.7228260869565217,0.06733297745768359,28
14,0.5801141715695008,0.48172757475083056,0.9773462783171522,0.12234016034074152,36
15,0.7203718625958754,0.6095890410958904,0.9934640522875817,0.1373277695522522,6
16,0.8625552321425093,0.7587412587412588,0.9493243243243243,0.05237476604805192,55
17,0.8534143579737571,0.782608695652174,0.9927007299270073,0.044299561496888906,36
18,0.5429026184651983,0.3870967741935484,0.6811594202898551,0.09838810683742458,15
19,0.5236014424038398,0.46411483253588515,0.84688995215311,0.055206732912542925,55
20,1.0,1.0,1.0,0.0,1
21,0.590599550734899,0.4764705882352941,0.7610062893081762,0.06460039755954314,55
22,0.9472868217054264,0.9395348837209302,0.9534883720930233,0.005801019204300716,3
23,0.5105168078484329,0.40789473684210525,0.6851851851851852,0.08503768538684381,21
24,0.7278262277105273,0.6295081967213115,0.9679144385026738,0.08981449919679371,55
25,0.46885756444597143,0.3838383838383838,0.8773584905660378,0.13745766344616664,15
26,0.673022495912939,0.561377245508982,0.8478581979320532,0.08016599609467007,21
27,0.641368000047868,0.36923076923076925,0.9179487179487179,0.20859903431573673,45
28,0.6576978163815228,0.4807692307692308,0.8148148148148148,0.09569957787225612,36
29,0.5326148651508203,0.3981042654028436,0.8365384615384616,0.09640229638926678,78
30,0.8400269905533063,0.7789473684210526,0.9719298245614035,0.05873432779496228,10
31,0.9454976303317535,0.9146919431279621,0.9715639810426541,0.018139961335549428,10
